他感冒了。|He caught a cold.|tā gǎn mào le。
不用麻烦了。|Don't bother.|bù yòng má fan le。
很好，谢谢。|Fine, thanks.|hěn hǎo， xiè xie。
我这就上路。|I'm on my way.|wǒ zhè jiù shàng lù。
让我想一想。|Let me see.|ràng wǒ xiǎng yī xiǎng。
不是我的错。|It's not my fault.|bú shì wǒ de cuò。
都是我的错。|It's all my fault.|dōu shì wǒ de cuò。
你干得很好。|You did a good job.|nǐ gàn de hěn hào。
我每晚洗澡.|I bath every night.|wǒ měi wǎn xǐ zǎo.
他年近四十。|He is near forty.|tā nián jìn sì shí。
这需要时间。|It takes time.|zhè xū yào shí jiān。
我不太清楚。|I'm not really sure.|wǒ bù tài qīng chu。
电话响了。|The telephone is ringing.|diàn huà xiǎng le。
我怎么知道。|How should I know.|wǒ zěn me zhī dào。
母牛流产了。|The cow cast her calf.|mǔ niú liú chǎn le。
它不是手表。|It is not a watch.|tā bú shì shǒu biǎo。
请把门打开。|Open the door, please.|qǐng bǎ mén dǎ kāi。
谢谢您，先生。|Thank you, sir.|xiè xie nín， xiān sheng。
你会习惯的。|You'll get used to it.|nǐ kuài xí guàn de。
啤酒走了气了。|The beer is stale.|pí jiǔ zǒu le qì le。
我马上就来。|I'll be right with you.|wǒ mǎ shàng jiù lái。
把这本书给她。|Give her the book.|bǎ zhè běn shū jǐ tā。
他唱最高音部。|He sings treble.|tā chàng zuì gāo yīn bù。
也许下一次吧。|Maybe some other time.|yě xǔ xià yī cì ba。
他正在开会。|He is in conference.|tā zhèng zài kāi huì。
好久不见了。|Haven't seen you for ages.|hǎo jiǔ bù jiàn le。
请再说一遍。|Say that again, please.|qǐng zài shuō yī biàn。
谢谢您，先生。|Thank you, sir.|xiè xie nín， xiān sheng。
一切都会好的。|Everything will be OK.|yī qiè dū huì hǎo de。
他喜欢吹牛。|He likes to throw the bull.|tā xǐ huan chuī niú。
她穿上袜子。|She draws on her socks.|tā chuān shàng wà zi。
我有许多唱片。|I have many discs.|wǒ yǒu xǔ duō chàng piàn。
日子不好过啊。|Pretty tough day to day.|rì zi bù hǎo guò a。
我的钢笔是新的。|My pen is new.|wǒ de gāng bǐ shì xīn de。
他不喜欢吃鱼。|He doesn't care for fish.|tā bù xǐ huan jí yú。
很高兴认识你。|It's nice meeting you.|hěn gāo xìng rèn shi nǐ。
这对我太合适了。|Suits me fine.|zhè duì wǒ tài hé shì le。
是的，当然可以。|Yes, certainly.|shì de， dāng rán kě yǐ。
我坐在他旁边。|I sat by his side.|wǒ zuò zài tā páng biān。
他在她的旁边。|He is being side her.|tā zài tā de páng biān。
请把菜单给我。|Please show me the menu.|qǐng bǎ cài dān jǐ wǒ。
他刚请假走了.|He's just gone on leave.|tā gāng qǐng jià zǒu le.
我的电话坏了。|My phone was out of order.|wǒ de diàn huà huài le。
你的眼力不错。|You've made a good choice.|nǐ de yǎn lì bù cuò。
六除以二得三。|Six divided by two is three.|liù chú yǐ èr de sān。
我正要找你。|Just the man I was looking for.|wǒ zhèng yào zhǎo nǐ。
我确实得走了。|I really have to be going.|wǒ què shí de zǒu le。
他跳上了桌子。|He jumped onto the table.|tā tiào shàng le zhuō zi。
出现了新困难.|A new difficulty has arisen.|chū xiàn le xīn kùn nan.
昨晚是满月。|Last night there was a full moon.|zuó wǎn shì mǎn yuè。
他的帽子没戴正.|His hat isn't on straight.|tā de mào zi mò dài zhèng.
他也学习汉语。|He studies Chinese as well.|tā yě xué xí Hàn yǔ。
祝你下一次好运。|Better luck next time.|zhù nǐ xià yī cì hǎo yùn。
他比我大两岁。|He is my senior by two years.|tā bì wǒ dà liǎng suì。
这对我正合适。|That suits me all right.|zhè duì wǒ zhèng hé shì。
这方便得多了。|It's much more convenient.|zhè fāng biàn de duō le。
他跳上了桌子。|He jumped onto the table.|tā tiào shàng le zhuō zi。
我每天早上刮脸.|I shave every morning.|wǒ měi tiān zǎo shang guā liǎn.
下周学校复课。|School reopens next week.|xià zhōu xué xiào fù kè。
我看你不应该。|I don't think you ought to.|wǒ kàn nǐ bù yīng gāi。
祝你生日快乐。|I wish you a happy birthday.|zhù nǐ shēng rì kuài lè。
你得等一等看。|You will have to wait and see.|nǐ de děng yī děng kàn。
你过来试试看。|Come on over to have a try.|nǐ guò lai shì shì kàn。
我们是六点出发的.|We started at six.|wǒ men shì liù diǎn chū fā de.
他紧握她的手。|He held her hand in a firm clasp.|tā jǐn wò tā de shǒu。
我把袜子穿破了.|I've worn holes in my socks.|wǒ bǎ wà zi chuān pò le.
现在五点差一刻。|It is a quarter to five.|xiàn zài wǔ diǎn cī yī kè。
布已经打成包。|The cloth was packed in bales.|bù yǐ jīng dǎ chéng bāo。
迟到总比不到好。|Better late than never.|chí dào zǒng bì bù dào hào。
